trial,pgo,d,RT
1108,0.75,1,322
1109,0.75,1,322
1110,0.75,1,323
1111,0.75,1,323
1112,0.75,1,324
1113,0.75,1,324
1114,0.75,1,324
1115,0.75,1,325
1116,0.75,1,325
1117,0.75,1,325
1118,0.75,1,325
1119,0.75,1,325
1120,0.75,1,325
1121,0.75,1,325
1122,0.75,1,327
1123,0.75,1,327
1124,0.75,1,327
1125,0.75,1,327
1126,0.75,1,327
1127,0.75,1,328
1128,0.75,1,328
1129,0.75,1,329
1130,0.75,1,329
1131,0.75,1,329
1132,0.75,1,329
1133,0.75,1,330
1134,0.75,1,330
1135,0.75,1,330
1136,0.75,1,330
1137,0.75,1,330
1138,0.75,1,331
1139,0.75,1,331
1140,0.75,1,331
1141,0.75,1,331
1142,0.75,1,332
1143,0.75,1,332
1144,0.75,1,332
1145,0.75,1,332
1146,0.75,1,333
1147,0.75,1,333
1148,0.75,1,333
1149,0.75,1,333
1150,0.75,1,333
1151,0.75,1,333
1152,0.75,1,334
1153,0.75,1,334
1154,0.75,1,335
1155,0.75,1,335
1156,0.75,1,335
1157,0.75,1,336
1158,0.75,1,336
1159,0.75,1,336
1160,0.75,1,337
1161,0.75,1,337
1162,0.75,1,337
1163,0.75,1,337
1164,0.75,1,337
1165,0.75,1,337
1166,0.75,1,337
1167,0.75,1,338
1168,0.75,1,338
1169,0.75,1,339
1170,0.75,1,339
1171,0.75,1,339
1172,0.75,1,339
1173,0.75,1,340
1174,0.75,1,340
1175,0.75,1,340
1176,0.75,1,340
1177,0.75,1,340
1178,0.75,1,340
1179,0.75,1,340
1180,0.75,1,341
1181,0.75,1,341
1182,0.75,1,341
1183,0.75,1,341
1184,0.75,1,342
1185,0.75,1,342
1186,0.75,1,342
1187,0.75,1,343
1188,0.75,1,343
1189,0.75,1,344
1190,0.75,1,344
1191,0.75,1,344
1192,0.75,1,345
1193,0.75,1,345
1194,0.75,1,345
1195,0.75,1,345
1196,0.75,1,345
1197,0.75,1,346
1198,0.75,1,346
1199,0.75,1,346
1200,0.75,1,346
1201,0.75,1,346
1202,0.75,1,347
1203,0.75,1,347
1204,0.75,1,347
1205,0.75,1,347
1206,0.75,1,347
1207,0.75,1,347
1208,0.75,1,347
